Vraag ID;Week;Type;Vraag;Optie A;Optie B;Optie C;Optie D;Correct Antwoord;Feedback
1;47;Nieuws;De federale regering zit in lopende zaken en moet een noodbegroting opstellen. Welk argument wordt door MR en Open Vld gebruikt om geen beslissing te nemen over de begroting van de ziekteverzekering (Riziv)?;Het is niet hun verantwoordelijkheid om over de verdeling van de Riziv-gelden te beslissen.;Ze willen geen miljarden verdelen via een "sluipweg".;De formatie van een nieuwe regering duurt te lang.;Ze willen de groeinorm in de gezondheidszorg verlagen.;B;MR en Open Vld vinden dat de bevoegdheid om te beslissen over de Riziv-begroting bij de formateur en de nieuwe regering ligt.
2;47;Nieuws;In verschillende artikels is er sprake van een politieke voorkeur voor “symmetrische” meerderheden.  Wat wordt hiermee bedoeld?;Dat de meerderheidspartijen in de verschillende bestuursniveaus gelijk moeten zijn.;Dat er evenveel Nederlandstalige als Franstalige partijen in een coalitie moeten zitten.;Dat de zetelverdeling tussen de partijen in een coalitie evenredig moet zijn aan de verkiezingsuitslag.;Dat er zowel linkse als rechtse partijen in een coalitie moeten zitten.;A;Een symmetrische meerderheid betekent dat de samenstelling van de coalitie op verschillende bestuursniveaus gelijk is.
3;47;Nieuws;De N-VA lijkt op verschillende bestuursniveaus een voorkeur te hebben om met Vooruit te besturen. Welke verklaring is hiervoor het meest waarschijnlijk?;N-VA en Vooruit hebben programmatisch veel raakvlakken.;De 'bromance' tussen Bart De Wever en Conner Rousseau zorgt voor een goede persoonlijke verstandhouding.;N-VA ziet Vooruit als een strategische partner om de macht van de traditionele partijen te breken.;Vooruit is bereid om compromissen te sluiten met N-VA.;B;De "bromance" tussen De Wever en Rousseau wordt in de media vaak genoemd als verklaring voor de toenadering tussen N-VA en Vooruit.
4;47;Nieuws;Welke kritiek wordt geuit op de Vlaamse toetsen door tegenstanders zoals Katholiek Onderwijs Vlaanderen?;De toetsen zijn te moeilijk voor de leerlingen.;De toetsen leiden tot een verenging van het curriculum.;De toetsen meten niet de echte vaardigheden van de leerlingen.;De toetsen zijn te duur.;B;Tegenstanders vrezen dat scholen zich te veel zullen focussen op de inhoud van de toetsen, waardoor andere belangrijke aspecten van het onderwijs in het gedrang komen.
5;47;Nieuws;Waarom is Belfius niet langer bereid om de stad Bergen te financieren?;De financiële toestand van Bergen is te slecht.;De PVDA maakt deel uit van de bestuursmeerderheid in Bergen.;De stad Bergen heeft haar financiële engagementen niet gerespecteerd.;Belfius wil zich niet mengen in de politieke besluitvorming in Wallonië.;B;Belfius zou de beslissing hebben genomen om politieke redenen, namelijk de deelname van de PVDA aan het stadsbestuur.
6;47;Nieuws;Wat is een belangrijk knelpunt in de Brusselse formatie?;De Franstalige partijen willen niet met N-VA in een regering stappen.;Groen wil enkel met N-VA besturen als er harde garanties zijn voor een progressief programma.;Open Vld wil enkel in een regering stappen met N-VA als ze de bevoegdheid Begroting krijgen.;CD&V weigert om in een regering te stappen zonder ministerportefeuille.;A;Verschillende Franstalige partijen hebben duidelijk gemaakt dat ze een samenwerking met N-VA in de Brusselse regering niet zien zitten.
7;47;Nieuws;Welke verklaring geeft Groen voor de beslissing om toch te onderhandelen met N-VA in Brussel?;N-VA heeft de verkiezingen gewonnen en heeft dus het recht om te besturen.;Groen wil de Brusselse formatie niet blokkeren en is daarom bereid om compromissen te sluiten.;N-VA heeft een aantal belangrijke toegevingen gedaan aan Groen.;Groen wil de macht van de PS in Brussel breken.;B;Groen benadrukt dat ze de gesprekken met N-VA aangaan om de politieke impasse te doorbreken, ondanks hun inhoudelijke verschillen.
8;47;Nieuws;Joris Vandenbroucke (Vooruit) verlaat de Kamer om schepen te worden in Gent. Welke verklaring geeft hij hiervoor?;Hij vindt de combinatie van beide mandaten te zwaar.;Hij wil zich volledig kunnen focussen op zijn job in Gent.;Hij is het niet eens met het beleid van de federale regering.;Hij wil plaats maken voor nieuw talent binnen de partij.;B;Vandenbroucke kiest ervoor om zich volledig te concentreren op zijn rol als schepen in Gent.
9;47;Nieuws;In Sint-Joost-ten-Node zijn de gemeenteraadsverkiezingen ongeldig verklaard. Wat is de meest waarschijnlijke volgende stap in dit proces?;Emir Kir, wiens lijst de verkiezingen won, kan in beroep gaan bij de Raad van State.;Er zullen nieuwe verkiezingen georganiseerd worden in de stembureaus waar onregelmatigheden werden vastgesteld.;De oude gemeenteraad zal aanblijven tot er een definitieve uitspraak is.;Het Brussels Parlement zal een nieuwe burgemeester aanstellen.;A;Kir heeft de mogelijkheid om de beslissing van het Rechtscollege aan te vechten bij de Raad van State.
10;47;Nieuws;De Vlaamse minister van Welzijn, Caroline Gennez, maakt extra geld vrij voor persoonsvolgende budgetten. Wat is de belangrijkste doelstelling hiervan?;De wachtlijsten voor deze budgetten wegwerken.;De kwaliteit van de zorg voor personen met een handicap verbeteren.;Meer mensen met een handicap toegang geven tot zorg.;De administratieve procedures voor het verkrijgen van deze budgetten vereenvoudigen.;A;Gennez wil met de extra middelen de lange wachtlijsten voor persoonsvolgende budgetten aanpakken.
